,zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax.year,tax,hoa,lat,lon
184,2104654621,"[""37.715019"",""-122.470878""]",4071 19th Ave APT 6,94132,San Francisco,CA,1,1,NA,UNKNOWN,688100,2900,NA,UNKNOWN,500,37.715019,-122.470878
1305,15195346,"[""37.71139"",""-122.464516""]",3601 Alemany Blvd # 1,94132,San Francisco,CA,2,1,1200,1948,688100,3700,NA,69898,500,37.71139,-122.464516
682,15173292,"[""37.715744"",""-122.402179""]",1 Alpha St,94134,San Francisco,CA,6,3,2614,1976,690400,4600,NA,900000,"500""zpid""",37.715744,-122.402179
711,15176768,"[""37.710594"",""-122.413236""]",2 Argonaut Ave,94134,San Francisco,CA,UNKNOWN,2,1725,1962,690400,4250,NA,114900,"500""zpid""",37.710594,-122.413236
764,15172615,"[""37.718312"",""-122.40375""]",1 Ankeny St,94134,San Francisco,CA,2,2,1650,1972,690400,4000,NA,428760,"500""zpid""",37.718312,-122.40375
964,15172614,"[""37.718444"",""-122.403771""]",5 Ankeny St,94134,San Francisco,CA,4,2,1290,1972,690400,3950,NA,425544,"500""zpid""",37.718444,-122.403771
965,15172653,"[""37.718576"",""-122.40356""]",2 Ankeny St,94134,San Francisco,CA,4,3,2128,1976,690400,4400,NA,577708,"500""zpid""",37.718576,-122.40356
1311,15172602,"[""37.719063"",""-122.404625""]",7 Alder St,94134,San Francisco,CA,4,2,1625,1980,690400,4100,NA,173645,"500""zpid""",37.719063,-122.404625
1363,15172603,"[""37.719131"",""-122.404645""]",1 Alder St,94134,San Francisco,CA,3,3,2362,2002,690400,4495,NA,396122,"500""zpid""",37.719131,-122.404645
1370,15173292,"[""37.715744"",""-122.402179""]",1 Alpha St,94134,San Francisco,CA,6,3,2614,1976,690400,4600,NA,900000,"500""zpid""",37.715744,-122.402179
1457,15172614,"[""37.718444"",""-122.403771""]",5 Ankeny St,94134,San Francisco,CA,4,2,1290,1972,690400,4000,NA,425544,"500""zpid""",37.718444,-122.403771
1458,15172615,"[""37.718312"",""-122.40375""]",1 Ankeny St,94134,San Francisco,CA,2,2,1650,1972,690400,3995,NA,428760,"500""zpid""",37.718312,-122.40375
1459,15172653,"[""37.718576"",""-122.40356""]",2 Ankeny St,94134,San Francisco,CA,4,3,2128,1976,690400,4250,NA,577708,"500""zpid""",37.718576,-122.40356
1568,2114332096,"[""37.712454"",""-122.402759""]",6 Arleta Ave,94134,San Francisco,CA,4,2,NA,1962,690400,4000,NA,UNKNOWN,"500""zpid""",37.712454,-122.402759
1695,15176769,"[""37.710617"",""-122.413319""]",8 Argonaut Ave,94134,San Francisco,CA,4,2.5,1725,1962,690400,4200,NA,168696,"500""zpid""",37.710617,-122.413319
1726,15176768,"[""37.710594"",""-122.413236""]",2 Argonaut Ave,94134,San Francisco,CA,UNKNOWN,2,1725,1962,690400,4000,NA,114900,"500""zpid""",37.710594,-122.413236
1833,2114332096,"[""37.712454"",""-122.402759""]",6 Arleta Ave,94134,San Francisco,CA,4,2,NA,1962,690400,4000,NA,UNKNOWN,"500""zpid""",37.712454,-122.402759
2395,2102818487,"[""37.71097"",""-122.4044""]",2428 Bay Shore Blvd APT 8,94134,San Francisco,CA,2,2,1054,2005,690400,3199,NA,UNKNOWN,"500""zpid""",37.71097,-122.4044
2396,79841754,"[""37.710971"",""-122.404373""]",2428 Bay Shore Blvd # IT9,94134,San Francisco,CA,1,1,783,2005,690400,3295,NA,245000,"500""zpid""",37.710971,-122.404373
2423,79847647,"[""37.710971"",""-122.404376""]",2428 Bay Shore Blvd APT 6,94134,San Francisco,CA,2,1,1058,2005,690400,3400,NA,300000,"500""zpid""",37.710971,-122.404376
2424,2121241691,"[""37.710936"",""-122.404041""]",2428 Bay Shore Blvd APT 2,94134,San Francisco,CA,UNKNOWN,UNKNOWN,NA,UNKNOWN,690400,3800,NA,UNKNOWN,"500""zpid""",37.710936,-122.404041
2520,79844201,"[""37.710971"",""-122.404376""]",2428 Bay Shore Blvd APT 7,94134,San Francisco,CA,UNKNOWN,UNKNOWN,1103,2005,690400,3490,NA,320000,"500""zpid""",37.710971,-122.404376
